监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
北京古城,69,良,42 μg/m3,87 μg/m3,PM10
北京昌平镇,65,良,45 μg/m3,78 μg/m3,PM10
北京定陵,63,良,36 μg/m3,74 μg/m3,PM10
北京海淀区万柳,59,良,40 μg/m3,67 μg/m3,PM10
北京官园,55,良,27 μg/m3,58 μg/m3,PM10
北京天坛,46,优,25 μg/m3,45 μg/m3,
北京东四,40,优,20 μg/m3,39 μg/m3,
北京顺义新城,39,优,16 μg/m3,38 μg/m3,
北京万寿西宫,36,优,22 μg/m3,35 μg/m3,
北京怀柔镇,32,优,17 μg/m3,31 μg/m3,
北京农展馆,31,优,21 μg/m3,30 μg/m3,
上海静安监测站,43,优,12 μg/m3,42 μg/m3,
上海普陀,40,优,16 μg/m3,39 μg/m3,
上海十五厂,31,优,12 μg/m3,30 μg/m3,
上海徐汇上师大,31,优,13 μg/m3,30 μg/m3,
上海杨浦四漂,30,优,7 μg/m3,29 μg/m3,
上海青浦淀山湖,29,优,1 μg/m3,28 μg/m3,
上海虹口,26,优,11 μg/m3,25 μg/m3,
上海浦东张江,26,优,9 μg/m3,25 μg/m3,
上海浦东新区监测站,23,优,10 μg/m3,23 μg/m3,
天津大理道(启用160601),218,重度污染,168 μg/m3,180 μg/m3,PM2.5
天津勤俭道,214,重度污染,164 μg/m3,197 μg/m3,PM2.5
天津团泊洼(对照点),214,重度污染,164 μg/m3,187 μg/m3,PM2.5
天津津沽路(启用150702),208,重度污染,158 μg/m3,182 μg/m3,PM2.5
天津前进道,205,重度污染,155 μg/m3,167 μg/m3,PM2.5
天津跃进路,203,重度污染,153 μg/m3,182 μg/m3,PM2.5
天津大直沽八号路,202,重度污染,152 μg/m3,199 μg/m3,PM2.5
天津西四道(启用170426),190,中度污染,143 μg/m3,179 μg/m3,PM2.5
天津第四大街,181,中度污染,137 μg/m3,156 μg/m3,PM2.5
天津永明路,174,中度污染,132 μg/m3,213 μg/m3,PM2.5
天津淮河道,171,中度污染,130 μg/m3,185 μg/m3,PM2.5
天津中山北路(启用161122),160,中度污染,122 μg/m3,172 μg/m3,PM2.5
天津河西一经路(启用150702),159,中度污染,121 μg/m3,155 μg/m3,PM2.5
天津汉北路,116,轻度污染,88 μg/m3,128 μg/m3,PM2.5
重庆蔡家,82,良,45 μg/m3,113 μg/m3,PM10
重庆天生,74,良,35 μg/m3,96 μg/m3,PM10
重庆歇台子(启用161118),73,良,53 μg/m3,57 μg/m3,PM2.5
重庆白驿,69,良,50 μg/m3,83 μg/m3,PM2.5
重庆龙洲湾(启用161119),68,良,49 μg/m3,63 μg/m3,PM2.5
重庆茶园,67,良,44 μg/m3,82 μg/m3,PM10
重庆上清寺(启用170928),67,良,48 μg/m3,83 μg/m3,PM10
重庆南坪,65,良,41 μg/m3,78 μg/m3,PM10
重庆礼嘉,64,良,46 μg/m3,71 μg/m3,PM2.5
重庆新山村,64,良,45 μg/m3,76 μg/m3,PM10
重庆唐家沱,63,良,45 μg/m3,56 μg/m3,PM2.5
重庆鱼新街,63,良,45 μg/m3,72 μg/m3,PM2.5
重庆龙井湾(启用161118),54,良,36 μg/m3,56 μg/m3,PM10
重庆空港,53,良,37 μg/m3,45 μg/m3,PM2.5
重庆虎溪,49,优,30 μg/m3,48 μg/m3,
重庆缙云山（对照点）,48,优,34 μg/m3,41 μg/m3,
广州九龙镇镇龙,70,良,43 μg/m3,88 μg/m3,PM10
广州八十六中,64,良,44 μg/m3,76 μg/m3,PM10
广州广雅中学,62,良,44 μg/m3,73 μg/m3,PM10
广州番禺中学,59,良,39 μg/m3,67 μg/m3,PM10
广州五中,58,良,41 μg/m3,59 μg/m3,PM2.5
广州广东商学院,57,良,40 μg/m3,59 μg/m3,PM2.5
广州花都师范,57,良,34 μg/m3,62 μg/m3,PM10
广州体育西,57,良,39 μg/m3,62 μg/m3,PM10
广州监测站,55,良,31 μg/m3,59 μg/m3,PM10
广州麓湖,55,良,38 μg/m3,54 μg/m3,PM2.5
南京奥体中心,85,良,54 μg/m3,119 μg/m3,PM10
南京迈皋桥,82,良,61 μg/m3,107 μg/m3,PM2.5
南京浦口,81,良,43 μg/m3,110 μg/m3,PM10
南京仙林大学城,81,良,53 μg/m3,111 μg/m3,PM10
南京瑞金路,80,良,59 μg/m3,100 μg/m3,PM2.5
南京中华门,80,良,50 μg/m3,108 μg/m3,PM10
南京山西路,79,良,50 μg/m3,107 μg/m3,PM10
南京玄武湖,75,良,47 μg/m3,99 μg/m3,PM10
杭州和睦小学,94,良,59 μg/m3,136 μg/m3,PM10
杭州西溪,80,良,59 μg/m3,103 μg/m3,PM2.5
杭州城厢镇,77,良,52 μg/m3,103 μg/m3,PM10
杭州朝晖五区,72,良,50 μg/m3,92 μg/m3,PM10
杭州滨江,71,良,44 μg/m3,90 μg/m3,PM10
杭州临平镇,70,良,25 μg/m3,88 μg/m3,PM10
杭州浙江农大,60,良,34 μg/m3,69 μg/m3,PM10
杭州卧龙桥,57,良,35 μg/m3,63 μg/m3,PM10
杭州下沙,56,良,28 μg/m3,61 μg/m3,PM10
杭州千岛湖,55,良,38 μg/m3,49 μg/m3,PM2.5
